Art.Nr.;Bezeichnung;Sparte;M1 hoch;M1 runter;M2 hoch;M2 runter;M3 hoch;M3 runter;M4 hoch;M4 runter;M5 hoch;M5 runter;Reset hoch;Reset runter;Memoposition 1;Memoposition 2;Memoposition 3;Memoposition 4;Memoposition  speichern;Synchro;Steckdose;UBB;Kindersicherung;Taschenlampe;Massageprogramm 1;Massageprogramm 2;Massageprogramm 3;Massage aus;Anzeige Massageintensit„t
bedding-all;bedding, all functions;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein
bedding-2;bedding, 2 actuators;bedding;ja;ja;ja;ja;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;nein
seating-1;seating, 1 actuator;seating;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein
seating-2;seating, 2 actuators;seating;ja;ja;ja;ja;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein
seating-3;seating, 3 actuators;seating;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein
seating-4;seating, 4 actuators;seating;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein
62211;RF HS-Elegance N silver - black, 17 Button Quadro;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
62612;RF HS-Elegance N black - red 17 Button Quadro;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
63293;RF HS-Classic N, 6 Button, black;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
63338;RF HS-Deluxe N, 8 Button, black;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
63365;RF HS-Elegance N black - silver, 17 Button Quadro;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
65418;RF HS-Elegance N silver - black 15 Button Trio Neck Rest;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
65433;RF HS-Elegance N silver - black, 13 Button;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
65567;RF HS-Elegance T silver - black;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;ja;ja;ja;ja;ja
68036;RF-SYSTEM/SW/6/1476/2400MHZ;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
